Organism A,Organism B,Ancestor age,Rate
Equus burchelli,Homo sapiens,92000000,4600000.0
Capra hircus,Homo sapiens,87325000,4158333.3333333335
Capra hircus,Equus burchelli,87325000,4596052.631578947
Equus grevyi,Homo sapiens,92000000,4380952.380952381
Equus grevyi,Equus burchelli,3508750,3508750.0
Equus grevyi,Capra hircus,87325000,4366250.0
Equus asinus,Homo sapiens,92000000,4380952.380952381
Equus asinus,Equus burchelli,2178425,2178425.0
Equus asinus,Capra hircus,87325000,4366250.0
Pongo pygmaeus,Homo sapiens,9906000,2476500.0
Pongo pygmaeus,Equus burchelli,92000000,4380952.380952381
Pongo pygmaeus,Capra hircus,87325000,3969318.1818181816
Pongo pygmaeus,Equus grevyi,92000000,4181818.1818181816
Pongo pygmaeus,Equus asinus,92000000,4181818.1818181816
Aythya affinis,Homo sapiens,316350000,7356976.7441860465
Aythya affinis,Equus burchelli,316350000,7356976.7441860465
Aythya affinis,Capra hircus,316350000,7030000.0
Aythya affinis,Equus grevyi,316350000,7532142.857142857
Aythya affinis,Equus asinus,316350000,7532142.857142857
Aythya affinis,Pongo pygmaeus,316350000,7356976.7441860465
Aythya marila,Homo sapiens,316350000,7356976.7441860465
Aythya marila,Equus burchelli,316350000,7356976.7441860465
Aythya marila,Capra hircus,316350000,7030000.0
Aythya marila,Equus grevyi,316350000,7532142.857142857
Aythya marila,Equus asinus,316350000,7532142.857142857
Aythya marila,Pongo pygmaeus,316350000,7356976.7441860465
Anser albifrons,Homo sapiens,316350000,7532142.857142857
Anser albifrons,Equus burchelli,316350000,7715853.658536585
Anser albifrons,Capra hircus,316350000,7532142.857142857
Anser albifrons,Equus grevyi,316350000,7908750.0
Anser albifrons,Equus asinus,316350000,7908750.0
Anser albifrons,Pongo pygmaeus,316350000,7532142.857142857
Anser albifrons,Aythya affinis,20617500,3436250.0
Anser albifrons,Aythya marila,20617500,3436250.0
Anas acuta,Homo sapiens,316350000,7532142.857142857
Anas acuta,Equus burchelli,316350000,7532142.857142857
Anas acuta,Capra hircus,316350000,7189772.7272727275
Anas acuta,Equus grevyi,316350000,7715853.658536585
Anas acuta,Equus asinus,316350000,7715853.658536585
Anas acuta,Pongo pygmaeus,316350000,7532142.857142857
Anas acuta,Aythya affinis,22607500,4521500.0
Anas acuta,Aythya marila,22607500,4521500.0
Anas acuta,Anser albifrons,23725000,4745000.0
Lophodytes cucullatus,Homo sapiens,316350000,7189772.7272727275
Lophodytes cucullatus,Equus burchelli,316350000,7189772.7272727275
Lophodytes cucullatus,Capra hircus,316350000,7030000.0
Lophodytes cucullatus,Equus grevyi,316350000,7356976.7441860465
Lophodytes cucullatus,Equus asinus,316350000,7356976.7441860465
Lophodytes cucullatus,Pongo pygmaeus,316350000,7532142.857142857
Lophodytes cucullatus,Aythya affinis,10399925,1733320.8333333333
Lophodytes cucullatus,Aythya marila,10399925,1733320.8333333333
Lophodytes cucullatus,Anser albifrons,11517425,1919570.8333333333
Lophodytes cucullatus,Anas acuta,13507425,4502475.0
Mergus serrator,Homo sapiens,316350000,7189772.7272727275
Mergus serrator,Equus burchelli,316350000,7189772.7272727275
Mergus serrator,Capra hircus,316350000,7030000.0
Mergus serrator,Equus grevyi,316350000,7356976.7441860465
Mergus serrator,Equus asinus,316350000,7356976.7441860465
Mergus serrator,Pongo pygmaeus,316350000,7532142.857142857
Mergus serrator,Aythya affinis,15937500,2656250.0
Mergus serrator,Aythya marila,15937500,2656250.0
Mergus serrator,Anser albifrons,17055000,2842500.0
Mergus serrator,Anas acuta,19045000,6348333.333333333
Cygnus atratus,Homo sapiens,316350000,7189772.7272727275
Cygnus atratus,Equus burchelli,316350000,7030000.0
Cygnus atratus,Capra hircus,316350000,7532142.857142857
Cygnus atratus,Equus grevyi,316350000,7189772.7272727275
Cygnus atratus,Equus asinus,316350000,7189772.7272727275
Cygnus atratus,Pongo pygmaeus,316350000,7532142.857142857
Cygnus atratus,Aythya affinis,15827000,1582700.0
Cygnus atratus,Aythya marila,15827000,1582700.0
Cygnus atratus,Anser albifrons,16944500,2824083.3333333335
Cygnus atratus,Anas acuta,18934500,2366812.5
Cygnus atratus,Lophodytes cucullatus,6726925,1345385.0
Cygnus atratus,Mergus serrator,12264500,2452900.0
Aythya collaris,Homo sapiens,316350000,7356976.7441860465
Aythya collaris,Equus burchelli,316350000,7356976.7441860465
Aythya collaris,Capra hircus,316350000,7030000.0
Aythya collaris,Equus grevyi,316350000,7532142.857142857
Aythya collaris,Equus asinus,316350000,7532142.857142857
Aythya collaris,Pongo pygmaeus,316350000,7356976.7441860465
Aythya collaris,Anser albifrons,20617500,3436250.0
Aythya collaris,Anas acuta,22607500,4521500.0
Aythya collaris,Lophodytes cucullatus,10399925,1733320.8333333333
Aythya collaris,Mergus serrator,15937500,2656250.0
Aythya collaris,Cygnus atratus,15827000,1582700.0
Aythya americana,Homo sapiens,316350000,7356976.7441860465
Aythya americana,Equus burchelli,316350000,7356976.7441860465
Aythya americana,Capra hircus,316350000,7030000.0
Aythya americana,Equus grevyi,316350000,7532142.857142857
Aythya americana,Equus asinus,316350000,7532142.857142857
Aythya americana,Pongo pygmaeus,316350000,7356976.7441860465
Aythya americana,Anser albifrons,20617500,3436250.0
Aythya americana,Anas acuta,22607500,4521500.0
Aythya americana,Lophodytes cucullatus,10399925,1733320.8333333333
Aythya americana,Mergus serrator,15937500,2656250.0
Aythya americana,Cygnus atratus,15827000,1582700.0
Melanitta nigra,Homo sapiens,316350000,7189772.7272727275
Melanitta nigra,Equus burchelli,316350000,7189772.7272727275
Melanitta nigra,Capra hircus,316350000,7030000.0
Melanitta nigra,Equus grevyi,316350000,7356976.7441860465
Melanitta nigra,Equus asinus,316350000,7356976.7441860465
Melanitta nigra,Pongo pygmaeus,316350000,7532142.857142857
Melanitta nigra,Aythya affinis,12720750,2120125.0
Melanitta nigra,Aythya marila,12720750,2120125.0
Melanitta nigra,Anser albifrons,20617500,3436250.0
Melanitta nigra,Anas acuta,22607500,7535833.333333333
Melanitta nigra,Cygnus atratus,15827000,3165400.0
Melanitta nigra,Aythya collaris,12720750,2120125.0
Melanitta nigra,Aythya americana,12720750,2120125.0
Rattus norvegicus,Homo sapiens,66450000,2143548.3870967743
Rattus norvegicus,Equus burchelli,92000000,2967741.935483871
Rattus norvegicus,Capra hircus,87325000,2728906.25
Rattus norvegicus,Equus grevyi,92000000,2875000.0
Rattus norvegicus,Equus asinus,92000000,2875000.0
Rattus norvegicus,Pongo pygmaeus,66450000,2143548.3870967743
Rattus norvegicus,Aythya affinis,316350000,6730851.063829787
Rattus norvegicus,Aythya marila,316350000,6730851.063829787
Rattus norvegicus,Anser albifrons,316350000,7189772.7272727275
Rattus norvegicus,Anas acuta,316350000,7030000.0
Rattus norvegicus,Lophodytes cucullatus,316350000,6730851.063829787
Rattus norvegicus,Mergus serrator,316350000,6730851.063829787
Rattus norvegicus,Cygnus atratus,316350000,6590625.0
Rattus norvegicus,Aythya collaris,316350000,6730851.063829787
Rattus norvegicus,Aythya americana,316350000,6730851.063829787
Rattus norvegicus,Melanitta nigra,316350000,6730851.063829787
Condylura cristata,Homo sapiens,92000000,4000000.0
Condylura cristata,Equus burchelli,62500000,2604166.6666666665
Condylura cristata,Capra hircus,87325000,4158333.3333333335
Condylura cristata,Equus grevyi,62500000,2500000.0
Condylura cristata,Equus asinus,62500000,2500000.0
Condylura cristata,Pongo pygmaeus,92000000,3680000.0
Condylura cristata,Aythya affinis,316350000,7532142.857142857
Condylura cristata,Aythya marila,316350000,7532142.857142857
Condylura cristata,Anser albifrons,316350000,8325000.0
Condylura cristata,Anas acuta,316350000,7908750.0
Condylura cristata,Lophodytes cucullatus,316350000,7532142.857142857
Condylura cristata,Mergus serrator,316350000,7532142.857142857
Condylura cristata,Cygnus atratus,316350000,7908750.0
Condylura cristata,Aythya collaris,316350000,7532142.857142857
Condylura cristata,Aythya americana,316350000,7532142.857142857
Condylura cristata,Melanitta nigra,316350000,7532142.857142857
Condylura cristata,Rattus norvegicus,92000000,3285714.285714286
Oryctolagus cuniculus,Homo sapiens,66450000,2461111.111111111
Oryctolagus cuniculus,Equus burchelli,92000000,3285714.285714286
Oryctolagus cuniculus,Capra hircus,87325000,3358653.846153846
Oryctolagus cuniculus,Equus grevyi,92000000,3285714.285714286
Oryctolagus cuniculus,Equus asinus,92000000,3285714.285714286
Oryctolagus cuniculus,Pongo pygmaeus,66450000,2555769.230769231
Oryctolagus cuniculus,Aythya affinis,316350000,6730851.063829787
Oryctolagus cuniculus,Aythya marila,316350000,6730851.063829787
Oryctolagus cuniculus,Anser albifrons,316350000,7189772.7272727275
Oryctolagus cuniculus,Anas acuta,316350000,6730851.063829787
Oryctolagus cuniculus,Lophodytes cucullatus,316350000,6590625.0
Oryctolagus cuniculus,Mergus serrator,316350000,6590625.0
Oryctolagus cuniculus,Cygnus atratus,316350000,7030000.0
Oryctolagus cuniculus,Aythya collaris,316350000,6730851.063829787
Oryctolagus cuniculus,Aythya americana,316350000,6730851.063829787
Oryctolagus cuniculus,Melanitta nigra,316350000,6590625.0
Oryctolagus cuniculus,Rattus norvegicus,60725000,1786029.4117647058
Oryctolagus cuniculus,Condylura cristata,92000000,3538461.5384615385
Scalopus aquaticus,Homo sapiens,92000000,968421.052631579
Scalopus aquaticus,Equus burchelli,62500000,651041.6666666666
Scalopus aquaticus,Capra hircus,87325000,919210.5263157894
Scalopus aquaticus,Equus grevyi,62500000,651041.6666666666
Scalopus aquaticus,Equus asinus,62500000,651041.6666666666
Scalopus aquaticus,Pongo pygmaeus,92000000,948453.6082474227
Scalopus aquaticus,Aythya affinis,316350000,3071359.223300971
Scalopus aquaticus,Aythya marila,316350000,3071359.223300971
Scalopus aquaticus,Anser albifrons,316350000,3101470.588235294
Scalopus aquaticus,Anas acuta,316350000,3101470.588235294
Scalopus aquaticus,Lophodytes cucullatus,316350000,3071359.223300971
Scalopus aquaticus,Mergus serrator,316350000,3071359.223300971
Scalopus aquaticus,Cygnus atratus,316350000,3071359.223300971
Scalopus aquaticus,Aythya collaris,316350000,3071359.223300971
Scalopus aquaticus,Aythya americana,316350000,3071359.223300971
Scalopus aquaticus,Melanitta nigra,316350000,3071359.223300971
Scalopus aquaticus,Rattus norvegicus,92000000,929292.9292929292
Scalopus aquaticus,Condylura cristata,2397000,25231.57894736842
Scalopus aquaticus,Oryctolagus cuniculus,92000000,948453.6082474227
Branta canadensis,Homo sapiens,316350000,7532142.857142857
Branta canadensis,Equus burchelli,316350000,7715853.658536585
Branta canadensis,Capra hircus,316350000,7532142.857142857
Branta canadensis,Equus grevyi,316350000,7908750.0
Branta canadensis,Equus asinus,316350000,7908750.0
Branta canadensis,Pongo pygmaeus,316350000,7532142.857142857
Branta canadensis,Aythya affinis,17197500,2456785.714285714
Branta canadensis,Aythya marila,17197500,2456785.714285714
Branta canadensis,Anser albifrons,18315000,9157500.0
Branta canadensis,Anas acuta,20305000,3384166.6666666665
Branta canadensis,Lophodytes cucullatus,8097425,1619485.0
Branta canadensis,Mergus serrator,13635000,2727000.0
Branta canadensis,Cygnus atratus,13524500,2704900.0
Branta canadensis,Aythya collaris,17197500,2456785.714285714
Branta canadensis,Aythya americana,17197500,2456785.714285714
Branta canadensis,Melanitta nigra,17197500,3439500.0
Branta canadensis,Rattus norvegicus,316350000,7189772.7272727275
Branta canadensis,Condylura cristata,316350000,8325000.0
Branta canadensis,Oryctolagus cuniculus,316350000,7189772.7272727275
Branta canadensis,Scalopus aquaticus,316350000,3101470.588235294
Macaca mulatta,Homo sapiens,24237500,4039583.3333333335
Macaca mulatta,Equus burchelli,92000000,5411764.705882353
Macaca mulatta,Capra hircus,87325000,4851388.888888889
Macaca mulatta,Equus grevyi,92000000,5111111.111111111
Macaca mulatta,Equus asinus,92000000,5111111.111111111
Macaca mulatta,Pongo pygmaeus,24237500,3029687.5
Macaca mulatta,Aythya affinis,316350000,7532142.857142857
Macaca mulatta,Aythya marila,316350000,7532142.857142857
Macaca mulatta,Anser albifrons,316350000,7715853.658536585
Macaca mulatta,Anas acuta,316350000,7715853.658536585
Macaca mulatta,Lophodytes cucullatus,316350000,7356976.7441860465
Macaca mulatta,Mergus serrator,316350000,7356976.7441860465
Macaca mulatta,Cygnus atratus,316350000,7189772.7272727275
Macaca mulatta,Aythya collaris,316350000,7532142.857142857
Macaca mulatta,Aythya americana,316350000,7532142.857142857
Macaca mulatta,Melanitta nigra,316350000,7356976.7441860465
Macaca mulatta,Rattus norvegicus,66450000,2215000.0
Macaca mulatta,Condylura cristata,92000000,4181818.1818181816
Macaca mulatta,Oryctolagus cuniculus,66450000,2555769.230769231
Macaca mulatta,Scalopus aquaticus,92000000,978723.4042553192
Macaca mulatta,Branta canadensis,316350000,7715853.658536585
Loxodonta africana,Homo sapiens,93075000,3447222.222222222
Loxodonta africana,Equus burchelli,63575000,2445192.3076923075
Loxodonta africana,Capra hircus,87325000,3011206.896551724
Loxodonta africana,Equus grevyi,63575000,2543000.0
Loxodonta africana,Equus asinus,63575000,2543000.0
Loxodonta africana,Pongo pygmaeus,93075000,3579807.6923076925
Loxodonta africana,Aythya affinis,316350000,6877173.9130434785
Loxodonta africana,Aythya marila,316350000,6877173.9130434785
Loxodonta africana,Anser albifrons,316350000,7189772.7272727275
Loxodonta africana,Anas acuta,316350000,6877173.9130434785
Loxodonta africana,Lophodytes cucullatus,316350000,7030000.0
Loxodonta africana,Mergus serrator,316350000,7030000.0
Loxodonta africana,Cygnus atratus,316350000,7030000.0
Loxodonta africana,Aythya collaris,316350000,6877173.9130434785
Loxodonta africana,Aythya americana,316350000,6877173.9130434785
Loxodonta africana,Melanitta nigra,316350000,7030000.0
Loxodonta africana,Rattus norvegicus,93075000,2216071.4285714286
Loxodonta africana,Condylura cristata,63575000,1986718.75
Loxodonta africana,Oryctolagus cuniculus,93075000,3002419.35483871
Loxodonta africana,Scalopus aquaticus,63575000,642171.7171717172
Loxodonta africana,Branta canadensis,316350000,7189772.7272727275
Loxodonta africana,Macaca mulatta,93075000,3579807.6923076925
Histrionicus histrionicus,Homo sapiens,296233250,6732573.863636363
Histrionicus histrionicus,Equus burchelli,296233250,6732573.863636363
Histrionicus histrionicus,Capra hircus,296233250,6582961.111111111
Histrionicus histrionicus,Equus grevyi,296233250,6889145.348837209
Histrionicus histrionicus,Equus asinus,296233250,6889145.348837209
Histrionicus histrionicus,Pongo pygmaeus,296233250,7053172.619047619
Histrionicus histrionicus,Aythya affinis,296233250,49372208.333333336
Histrionicus histrionicus,Aythya marila,296233250,49372208.333333336
Histrionicus histrionicus,Anser albifrons,296233250,49372208.333333336
Histrionicus histrionicus,Anas acuta,296233250,98744416.66666667
Histrionicus histrionicus,Cygnus atratus,296233250,59246650.0
Histrionicus histrionicus,Aythya collaris,296233250,49372208.333333336
Histrionicus histrionicus,Aythya americana,296233250,49372208.333333336
Histrionicus histrionicus,Rattus norvegicus,296233250,6302835.106382979
Histrionicus histrionicus,Condylura cristata,296233250,7053172.619047619
Histrionicus histrionicus,Oryctolagus cuniculus,296233250,6171526.041666667
Histrionicus histrionicus,Scalopus aquaticus,296233250,2876050.9708737866
Histrionicus histrionicus,Branta canadensis,296233250,59246650.0
Histrionicus histrionicus,Macaca mulatta,296233250,6889145.348837209
Histrionicus histrionicus,Loxodonta africana,296233250,6582961.111111111
Somateria mollissima,Homo sapiens,316350000,7189772.7272727275
Somateria mollissima,Equus burchelli,316350000,7189772.7272727275
Somateria mollissima,Capra hircus,316350000,7030000.0
Somateria mollissima,Equus grevyi,316350000,7356976.7441860465
Somateria mollissima,Equus asinus,316350000,7356976.7441860465
Somateria mollissima,Pongo pygmaeus,316350000,7532142.857142857
Somateria mollissima,Aythya affinis,12720750,2120125.0
Somateria mollissima,Aythya marila,12720750,2120125.0
Somateria mollissima,Anser albifrons,20617500,3436250.0
Somateria mollissima,Anas acuta,22607500,7535833.333333333
Somateria mollissima,Cygnus atratus,15827000,3165400.0
Somateria mollissima,Aythya collaris,12720750,2120125.0
Somateria mollissima,Aythya americana,12720750,2120125.0
Somateria mollissima,Rattus norvegicus,316350000,6730851.063829787
Somateria mollissima,Condylura cristata,316350000,7532142.857142857
Somateria mollissima,Oryctolagus cuniculus,316350000,6590625.0
Somateria mollissima,Scalopus aquaticus,316350000,3071359.223300971
Somateria mollissima,Branta canadensis,17197500,3439500.0
Somateria mollissima,Macaca mulatta,316350000,7356976.7441860465
Somateria mollissima,Loxodonta africana,316350000,7030000.0
Spatula clypeata,Homo sapiens,316350000,7715853.658536585
Spatula clypeata,Equus burchelli,316350000,7715853.658536585
Spatula clypeata,Capra hircus,316350000,7356976.7441860465
Spatula clypeata,Equus grevyi,316350000,7908750.0
Spatula clypeata,Equus asinus,316350000,7908750.0
Spatula clypeata,Pongo pygmaeus,316350000,7715853.658536585
Spatula clypeata,Aythya affinis,22607500,3767916.6666666665
Spatula clypeata,Aythya marila,22607500,3767916.6666666665
Spatula clypeata,Anser albifrons,23725000,3954166.6666666665
Spatula clypeata,Anas acuta,4466500,4466500.0
Spatula clypeata,Lophodytes cucullatus,13507425,3376856.25
Spatula clypeata,Mergus serrator,19045000,4761250.0
Spatula clypeata,Cygnus atratus,18934500,2103833.3333333335
Spatula clypeata,Aythya collaris,22607500,3767916.6666666665
Spatula clypeata,Aythya americana,22607500,3767916.6666666665
Spatula clypeata,Melanitta nigra,22607500,5651875.0
Spatula clypeata,Rattus norvegicus,316350000,7189772.7272727275
Spatula clypeata,Condylura cristata,316350000,8111538.461538462
Spatula clypeata,Oryctolagus cuniculus,316350000,6877173.9130434785
Spatula clypeata,Scalopus aquaticus,316350000,3132178.217821782
Spatula clypeata,Branta canadensis,20305000,2900714.285714286
Spatula clypeata,Macaca mulatta,316350000,7908750.0
Spatula clypeata,Loxodonta africana,316350000,7030000.0
Spatula clypeata,Histrionicus histrionicus,296233250,74058312.5
Spatula clypeata,Somateria mollissima,22607500,5651875.0
Branta bernicla,Homo sapiens,316350000,7532142.857142857
Branta bernicla,Equus burchelli,316350000,7715853.658536585
Branta bernicla,Capra hircus,316350000,7532142.857142857
Branta bernicla,Equus grevyi,316350000,7908750.0
Branta bernicla,Equus asinus,316350000,7908750.0
Branta bernicla,Pongo pygmaeus,316350000,7532142.857142857
Branta bernicla,Aythya affinis,17197500,2456785.714285714
Branta bernicla,Aythya marila,17197500,2456785.714285714
Branta bernicla,Anser albifrons,18315000,9157500.0
Branta bernicla,Anas acuta,20305000,3384166.6666666665
Branta bernicla,Lophodytes cucullatus,8097425,1619485.0
Branta bernicla,Mergus serrator,13635000,2727000.0
Branta bernicla,Cygnus atratus,13524500,2704900.0
Branta bernicla,Aythya collaris,17197500,2456785.714285714
Branta bernicla,Aythya americana,17197500,2456785.714285714
Branta bernicla,Melanitta nigra,17197500,3439500.0
Branta bernicla,Rattus norvegicus,316350000,7189772.7272727275
